unix_ms,goroutines,heap_alloc_bytes,heap_objects,connected_replicas,idle_slots
1789205596317,82,1982736,7522,3,4
1789205601318,82,1633824,6803,3,6
1789205606320,82,1777448,6949,3,6
1789205611322,82,1747800,6956,3,6
1789205616324,82,1687448,6973,3,6
1789205621325,82,1591904,6956,3,6
1789205626326,82,1698424,7027,3,6
1789205631327,82,1639160,7081,3,6
1789205636329,82,1747576,7159,3,6
1789205641331,82,1786016,7207,3,6
1789205646333,82,1553520,7153,3,6
1789205651334,82,1625384,7202,3,6
1789205656336,82,1762320,7257,3,6
1789205661337,82,1798328,7263,3,6
1789205666339,82,1800528,7264,3,6
1789205671341,82,1891824,7525,3,6
1789205676343,82,1807040,7294,3,6
1789205681345,82,1677936,7265,3,6
1789205686347,82,1761248,7367,3,6
1789205691349,82,1819304,7307,3,6
1789205696351,82,1755496,7307,3,6
1789205701353,82,1822328,7326,3,6
1789205706354,82,1823304,7315,3,6
1789205711356,82,1791848,7346,3,6
1789205716317,82,1883824,7615,3,6
